First Name,Last Name,Email,Language,Status,User Designation,Is Adminstrator,Project,Access Type,Locale,Timezone,Expected
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Inactive,CTO,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Suspended,CTO,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,Error
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,VP Of Operation,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,Senior Software Engineer,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,Software Engineer,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,Senior QA Manager,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,QA/Project Manager,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,Quality Architect,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,QA Lead,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,Quality Analyst,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,Technical Architect,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,Engineering Manager,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,Account Manager,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,Developer,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,UI Designer,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,Error
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,CTO,,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,CTO,FALSE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,CTO,TRUE,,Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,CTO,TRUE,[NE],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,Error
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,CTO,TRUE,[E],,Vietnamese (Vietnam),(UTC-11:00) Midway Island,Error
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,CTO,TRUE,[E],Tester,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,CTO,TRUE,[E],Manager,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,CTO,TRUE,[E],Janitor,Vietnamese (Vietnam),(UTC-11:00) Midway Island,Error
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,CTO,TRUE,[E],Developer,,(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,CTO,TRUE,[E],Developer,Martian (Mars),(UTC-11:00) Midway Island,Error
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,CTO,TRUE,[E],Developer,Vietnamese (Vietnam),,New user
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,CTO,TRUE,[E],Developer,Vietnamese (Vietnam),(OKE-11:00) MM Island,Error
